pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 383, 383, 0, 0
2, 181, 282, 125, 0
3, 195, 253, 100, 0
4, 720, 369, 110, 0
5, 167, 329, 85, 0
6, 183, 304, 82, 0
7, 158, 283, 70, 0
8, 173, 270, 64, 0
9, 237, 266, 331, 0
10, 200, 259, 70, 0
11, 160, 250, 66, 0
12, 156, 242, 65, 0
13, 251, 243, 89, 0
14, 148, 236, 70, 0
15, 119, 228, 64, 0
16, 160, 224, 64, 0
17, 161, 220, 64, 0
18, 217, 220, 86, 0
19, 134, 215, 109, 0
20, 442, 227, 81, 0
21, 149, 223, 91, 0
22, 156, 220, 603, 0
23, 592, 236, 70, 0
24, 115, 231, 77, 0
25, 238, 231, 57, 0
26, 196, 230, 58, 0
27, 199, 229, 58, 0
28, 147, 226, 57, 0
29, 314, 229, 57, 0
30, 211, 228, 58, 0
31, 195, 227, 57, 0
32, 202, 226, 57, 0
33, 359, 230, 57, 0
34, 148, 228, 58, 0
35, 267, 229, 57, 0
36, 291, 231, 78, 0
37, 142, 228, 117, 0
38, 180, 227, 73, 0
39, 320, 229, 64, 0
40, 218, 229, 81, 0
41, 726, 241, 62, 0
42, 237, 241, 88, 0
43, 197, 240, 63, 0
44, 66, 236, 263, 0
45, 376, 239, 58, 0
46, 96, 236, 95, 0
47, 204, 235, 167, 0
48, 204, 235, 71, 0
49, 255, 235, 70, 0
50, 189, 234, 77, 0
51, 134, 232, 59, 0
52, 103, 230, 60, 0
53, 195, 229, 58, 0
54, 328, 231, 67, 0
55, 121, 229, 454, 0
56, 304, 230, 60, 0
57, 374, 233, 73, 0
58, 373, 235, 61, 0
59, 273, 236, 63, 0
60, 832, 246, 73, 0
61, 168, 244, 76, 0
62, 137, 243, 61, 0
63, 318, 244, 60, 0
64, 172, 243, 71, 0
65, 173, 242, 66, 0
66, 337, 243, 68, 0
67, 811, 252, 76, 0
68, 172, 250, 67, 0
69, 373, 252, 66, 0
70, 136, 250, 65, 0
71, 156, 249, 57, 0
72, 53, 246, 56, 0
73, 278, 247, 56, 0
74, 122, 245, 382, 0
75, 136, 244, 62, 0
76, 110, 242, 59, 0
77, 126, 240, 58, 0
78, 553, 244, 58, 0
79, 86, 242, 61, 0
80, 75, 240, 195, 0
81, 66, 238, 59, 0
82, 115, 237, 58, 0
83, 107, 235, 57, 0
84, 115, 234, 58, 0
85, 127, 232, 58, 0
86, 72, 230, 241, 0
87, 245, 231, 58, 0
88, 264, 231, 92, 0
89, 719, 237, 69, 0
90, 192, 236, 73, 0
91, 176, 235, 65, 0
92, 631, 240, 59, 0
93, 187, 239, 357, 0
94, 377, 241, 63, 0
95, 215, 240, 104, 0
96, 652, 245, 75, 0
97, 183, 244, 61, 0
98, 177, 243, 78, 0
99, 72, 241, 116, 0
100, 88, 240, 247, 0
101, 90, 238, 59, 0
102, 108, 237, 581, 0
103, 189, 237, 84, 0
104, 64, 235, 63, 0
105, 82, 234, 400, 0
106, 288, 234, 94, 0
107, 102, 233, 708, 0
108, 194, 232, 85, 0
109, 280, 233, 70, 0
110, 269, 233, 83, 0
111, 277, 234, 114, 0
112, 486, 236, 91, 0
113, 168, 235, 63, 0
114, 401, 237, 58, 0
115, 90, 235, 75, 0
116, 241, 235, 57, 0
117, 290, 236, 63, 0
118, 272, 236, 85, 0
119, 86, 235, 63, 0
120, 75, 234, 56, 0
121, 110, 233, 57, 0
122, 106, 232, 58, 0
123, 87, 230, 58, 0
124, 59, 229, 56, 0
125, 211, 229, 84, 0
126, 87, 228, 61, 0
127, 60, 226, 56, 0
128, 109, 225, 56, 0
129, 107, 225, 56, 0
130, 106, 224, 56, 0
131, 59, 222, 56, 0
132, 218, 222, 83, 0
133, 61, 221, 61, 0
134, 286, 222, 61, 0
135, 140, 221, 214, 0
136, 936, 226, 59, 0
137, 119, 225, 241, 0
138, 282, 226, 104, 0
139, 126, 225, 64, 0
140, 125, 224, 58, 0
141, 442, 226, 58, 0
142, 227, 226, 118, 0
143, 78, 225, 209, 0
144, 288, 225, 59, 0
145, 109, 225, 71, 0
146, 169, 224, 58, 0
147, 234, 224, 58, 0
148, 324, 225, 66, 0
149, 157, 224, 66, 0
150, 165, 224, 78, 0
151, 77, 223, 290, 0
152, 134, 222, 60, 0
153, 216, 222, 58, 0
154, 884, 227, 58, 0
155, 241, 227, 80, 0
156, 260, 227, 67, 0
157, 400, 228, 77, 0
158, 101, 227, 340, 0
159, 248, 227, 84, 0
160, 200, 227, 64, 0
161, 285, 228, 59, 0
162, 403, 229, 222, 0
163, 241, 229, 111, 0
164, 226, 229, 60, 0
165, 173, 228, 68, 0
166, 144, 228, 563, 0
167, 542, 230, 62, 0
168, 139, 229, 58, 0
169, 228, 229, 75, 0
170, 213, 229, 67, 0
171, 348, 230, 60, 0
172, 386, 231, 78, 0
173, 122, 230, 63, 0
174, 187, 230, 67, 0
175, 136, 229, 63, 0
176, 185, 229, 78, 0
177, 465, 230, 422, 0
178, 182, 230, 65, 0
179, 229, 230, 72, 0
180, 590, 232, 67, 0
181, 189, 232, 61, 0
182, 214, 232, 59, 0
183, 277, 232, 60, 0
184, 110, 231, 270, 0
185, 498, 233, 105, 0
186, 229, 233, 71, 0
187, 180, 232, 72, 0
188, 245, 233, 65, 0
189, 187, 232, 68, 0
190, 208, 232, 62, 0
191, 138, 232, 63, 0
192, 608, 234, 61, 0
193, 99, 233, 101, 0
194, 330, 233, 69, 0
195, 102, 233, 88, 0
196, 117, 232, 60, 0
197, 134, 232, 61, 0
198, 285, 232, 57, 0
199, 196, 232, 74, 0
200, 180, 231, 71, 0
201, 120, 231, 60, 0
202, 627, 233, 58, 0
203, 119, 232, 60, 0
204, 168, 232, 450, 0
205, 71, 231, 117, 0
206, 266, 231, 58, 0
207, 305, 232, 69, 0
208, 99, 231, 232, 0
209, 83, 230, 59, 0
210, 125, 230, 60, 0
211, 121, 229, 61, 0
212, 166, 229, 77, 0
