pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 57490, 57490, 0, 0
2, 510076, 283783, 134, 0
3, 513799, 360455, 95, 0
4, 511870, 398308, 89, 0
5, 511199, 420886, 121, 0
6, 512113, 436091, 127, 0
7, 554903, 453064, 110, 0
8, 515914, 460920, 114, 0
9, 519990, 467483, 106, 0
10, 511886, 471924, 107, 0
11, 515904, 475922, 112, 0
12, 519859, 479583, 115, 0
13, 515906, 482377, 108, 0
14, 511890, 484485, 107, 0
15, 515857, 486577, 110, 0
16, 519893, 488659, 125, 0
17, 515701, 490250, 123, 0
18, 512040, 491460, 135, 0
19, 515910, 492747, 87, 0
20, 515890, 493904, 101, 0
21, 515685, 494941, 113, 0
22, 511922, 495713, 172, 0
23, 515978, 496594, 126, 0
24, 515892, 497398, 110, 0
25, 515778, 498133, 116, 0
26, 511890, 498662, 107, 0
27, 515853, 499299, 115, 0
28, 515921, 499893, 106, 0
29, 515836, 500442, 127, 0
30, 512016, 500828, 113, 0
31, 515699, 501308, 124, 0
32, 515848, 501762, 109, 0
33, 519960, 502314, 153, 0
34, 507992, 502481, 106, 0
35, 515867, 502863, 108, 0
36, 515802, 503223, 110, 0
37, 515891, 503565, 148, 0
38, 511944, 503785, 121, 0
39, 511873, 503993, 125, 0
40, 519882, 504390, 109, 0
41, 515782, 504668, 116, 0
42, 511849, 504839, 111, 0
43, 512024, 505006, 114, 0
44, 515862, 505253, 114, 0
45, 515851, 505488, 113, 0
46, 511931, 505628, 81, 0
47, 511931, 505762, 105, 0
48, 515892, 505973, 112, 0
49, 515865, 506175, 125, 0
50, 511869, 506289, 108, 0
51, 515727, 506474, 114, 0
52, 515906, 506655, 107, 0
53, 516042, 506833, 118, 0
54, 511722, 506923, 114, 0
55, 512054, 507016, 104, 0
56, 515886, 507175, 115, 0
57, 515869, 507327, 117, 0
58, 511895, 507406, 113, 0
59, 511782, 507480, 113, 0
60, 515880, 507620, 115, 0
61, 515996, 507757, 109, 0
62, 515738, 507886, 128, 0
