pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 56806, 56806, 0, 0
2, 500514, 278660, 150, 10000
3, 502031, 353117, 10141, 20000
4, 495716, 388766, 20137, 30000
5, 481701, 407353, 30442, 40000
6, 471680, 418074, 40161, 50000
7, 465680, 424875, 50264, 60000
8, 451821, 428243, 60277, 70000
9, 445690, 430182, 70269, 80000
10, 431876, 430351, 80127, 90000
11, 421859, 429579, 90271, 100000
12, 413928, 428275, 100172, 110000
13, 402474, 426290, 110171, 120000
14, 392590, 423883, 120187, 130000
15, 381758, 421074, 130097, 140000
16, 373048, 418073, 140158, 150000
17, 363447, 414859, 150163, 160000
18, 353994, 411478, 160176, 170000
19, 344164, 407935, 170267, 180000
20, 332668, 404172, 180153, 190000
21, 322303, 400273, 190173, 200000
22, 312806, 396297, 200139, 210000
23, 301555, 392178, 210272, 220000
24, 292553, 388027, 220159, 230000
25, 659964, 398905, 230274, 240000
26, 99916, 387405, 240106, 250000
27, 309699, 384527, 250273, 260000
28, 520019, 389366, 260132, 270000
29, 339609, 387650, 270263, 280000
30, 240207, 382735, 280295, 290000
31, 230622, 377828, 290264, 300000
32, 215794, 372765, 300165, 310000
33, 212791, 367917, 310268, 320000
34, 200729, 363000, 320168, 330000
35, 191166, 358090, 330264, 340000
36, 175150, 353009, 340108, 350000
37, 171470, 348102, 350172, 360000
38, 160237, 343158, 360284, 370000
39, 153702, 338300, 370268, 380000
40, 139196, 333323, 380094, 390000
41, 128087, 328317, 390268, 400000
42, 115957, 323261, 400230, 410000
43, 110076, 318303, 410266, 420000
44, 98806, 313314, 420272, 430000
45, 88843, 308326, 430167, 440000
46, 173412, 305393, 440272, 450000
47, 409733, 307613, 450263, 460000
48, 99812, 303284, 460180, 470000
49, 97690, 299088, 470313, 480000
50, 99526, 295097, 480322, 490000
51, 97736, 291227, 490320, 500000
52, 99818, 287546, 500278, 510000
53, 97687, 283964, 510142, 520000
54, 99743, 280552, 520321, 530000
55, 97885, 277231, 530103, 540000
56, 99833, 274063, 540274, 550000
57, 97697, 270969, 550288, 560000
58, 99686, 268016, 560211, 570000
59, 97847, 265132, 570158, 580000
60, 99883, 262378, 580212, 590000
61, 97699, 259678, 590159, 600000
62, 99965, 257102, 600155, 610000
63, 97695, 254572, 610319, 620000
64, 99848, 252154, 620146, 630000
65, 97683, 249778, 630321, 640000
66, 99677, 247503, 640314, 650000
67, 97779, 245269, 650228, 660000
68, 99783, 243129, 660167, 670000
69, 97623, 241020, 670292, 680000
70, 99808, 239003, 680316, 690000
71, 97676, 237013, 690100, 700000
72, 99707, 235106, 700319, 710000
73, 97822, 233225, 710208, 720000
74, 99824, 231422, 720170, 730000
75, 97846, 229641, 730307, 740000
76, 99784, 227933, 740214, 750000
77, 97773, 226242, 750099, 760000
78, 99849, 224622, 760119, 770000
79, 97853, 223017, 770202, 780000
80, 99775, 221476, 780134, 790000
81, 78246, 219708, 790317, 800000
82, 57205, 217726, 800321, 810000
83, 58748, 215811, 810213, 820000
84, 58656, 213940, 820313, 830000
85, 58370, 212110, 830288, 840000
86, 57990, 210318, 840275, 850000
87, 57604, 208562, 850173, 860000
88, 57211, 206843, 860225, 870000
89, 56905, 205158, 870211, 880000
90, 58013, 203523, 880281, 890000
91, 58710, 201932, 890213, 900000
92, 2459, 199763, 900219, 910000
93, 58115, 198240, 910216, 920000
94, 57606, 196744, 920320, 930000
95, 57790, 195281, 930247, 940000
96, 56981, 193841, 940313, 950000
97, 76140, 192627, 950320, 960000
98, 58210, 191256, 960320, 970000
99, 58648, 189916, 970169, 980000
100, 58249, 188600, 980320, 990000
101, 57078, 187297, 990210, 1000000
102, 57169, 186022, 1000410, 1010000
103, 58103, 184780, 1010258, 1020000
104, 57235, 183553, 1020379, 1030000
105, 58142, 182359, 1030384, 1040000
106, 58641, 181192, 1040524, 1050000
107, 58222, 180043, 1050527, 1060000
108, 57712, 178910, 1060345, 1070000
109, 57133, 177793, 1070471, 1080000
110, 58449, 176708, 1080485, 1090000
111, 57305, 175632, 1090577, 1100000
112, 57910, 174581, 1100323, 1110000
113, 58549, 173554, 1110398, 1120000
114, 58315, 172543, 1120568, 1130000
115, 57674, 171544, 1130558, 1140000
116, 57103, 170558, 1140465, 1150000
