pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 57141, 57141, 0, 1000000
2, 58268, 57704, 1000436, 1000000
3, 57550, 57653, 1000419, 1000000
4, 58269, 57807, 1000385, 1000000
5, 57952, 57836, 1000369, 1000000
6, 58072, 57875, 1000415, 1000000
7, 58432, 57954, 1000259, 1000000
8, 57172, 57857, 1000368, 1000000
9, 435087, 99771, 1000309, 1000000
10, 57415, 95535, 1000242, 1000000
11, 57694, 92095, 1000323, 1000000
12, 57450, 89208, 1000361, 1000000
13, 57308, 86754, 1000377, 1000000
14, 58626, 84745, 1000425, 1000000
15, 58332, 82984, 1000317, 1000000
16, 58118, 81430, 1000318, 1000000
17, 57352, 80014, 1000408, 1000000
18, 58196, 78801, 1000314, 1000000
19, 57409, 77675, 1000498, 1000000
20, 56853, 76634, 1000297, 1000000
21, 57472, 75722, 1000284, 1000000
22, 58448, 74937, 1000343, 1000000
23, 58475, 74221, 1000410, 1000000
24, 59567, 73610, 1000422, 1000000
25, 46178, 72513, 1000360, 1000000
26, 60087, 72035, 1000429, 1000000
27, 1135, 69409, 1000194, 1000000
28, 57134, 68971, 1000358, 1000000
29, 58652, 68615, 1000413, 1000000
30, 58561, 68280, 1000308, 1000000
31, 58741, 67972, 1000325, 1000000
32, 58538, 67677, 1000266, 1000000
33, 60218, 67451, 1000402, 1000000
34, 57561, 67160, 1000377, 1000000
35, 57617, 66888, 1000203, 1000000
36, 58613, 66658, 1000327, 1000000
37, 58298, 66432, 1000241, 1000000
38, 58701, 66228, 1000269, 1000000
39, 58210, 66023, 1000288, 1000000
40, 59899, 65870, 1000369, 1000000
41, 57540, 65666, 1000357, 1000000
42, 57264, 65466, 1000425, 1000000
43, 58255, 65299, 1000417, 1000000
44, 58022, 65133, 1000245, 1000000
45, 58594, 64988, 1000362, 1000000
46, 96723, 65678, 1000364, 1000000
47, 59723, 65551, 1000268, 1000000
48, 57756, 65389, 1000384, 1000000
49, 57400, 65226, 1000271, 1000000
50, 58384, 65089, 1000310, 1000000
51, 58205, 64954, 1000408, 1000000
52, 58467, 64829, 1000238, 1000000
53, 58311, 64706, 1000299, 1000000
54, 59425, 64608, 1000308, 1000000
55, 57235, 64474, 1000262, 1000000
56, 57119, 64343, 1000341, 1000000
57, 58155, 64234, 1000341, 1000000
58, 58164, 64130, 1000304, 1000000
59, 58639, 64036, 1000417, 1000000
60, 1637, 62996, 1000199, 1000000
61, 59428, 62938, 1000286, 1000000
62, 57682, 62853, 1000271, 1000000
63, 56984, 62760, 1000278, 1000000
64, 58511, 62694, 1000291, 1000000
65, 58164, 62624, 1000384, 1000000
66, 58474, 62561, 1000236, 1000000
67, 58333, 62498, 1000366, 1000000
68, 59814, 62458, 1000279, 1000000
69, 57817, 62391, 1000421, 1000000
70, 57584, 62323, 1000236, 1000000
71, 58299, 62266, 1000307, 1000000
72, 58128, 62208, 1000317, 1000000
73, 58770, 62161, 1000301, 1000000
74, 58237, 62108, 1000225, 1000000
75, 58955, 62066, 1000387, 1000000
76, 57403, 62005, 1000410, 1000000
77, 57568, 61947, 1000238, 1000000
78, 58449, 61902, 1000317, 1000000
79, 98425, 62365, 1000362, 1000000
80, 59001, 62323, 1000202, 1000000
81, 58421, 62274, 1000393, 1000000
82, 59389, 62239, 1000369, 1000000
83, 57653, 62184, 1000414, 1000000
84, 57988, 62134, 1000412, 1000000
85, 58229, 62088, 1000368, 1000000
86, 57313, 62033, 1000382, 1000000
87, 58770, 61995, 1000254, 1000000
88, 58134, 61951, 1000311, 1000000
89, 58951, 61917, 1000331, 1000000
90, 57790, 61872, 1000269, 1000000
91, 58342, 61833, 1000201, 1000000
