pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 192, 192, 0, 0
2, 187, 189, 94, 10
3, 162, 180, 129, 20
4, 123, 166, 29, 30
5, 232, 179, 146, 40
6, 81, 162, 102, 50
7, 79, 150, 107, 60
8, 58, 139, 118, 70
9, 59, 130, 127, 80
10, 78, 125, 135, 90
11, 78, 120, 146, 100
12, 78, 117, 156, 110
13, 81, 114, 166, 120
14, 80, 112, 176, 130
15, 96, 110, 218, 140
16, 88, 109, 197, 150
17, 89, 108, 207, 160
18, 89, 107, 217, 170
19, 88, 106, 227, 180
20, 87, 105, 237, 190
21, 87, 104, 247, 200
22, 87, 103, 261, 210
23, 91, 103, 270, 220
24, 86, 102, 277, 230
25, 89, 101, 287, 240
26, 87, 101, 297, 250
27, 87, 100, 307, 260
28, 144, 102, 3, 270
29, 199, 105, 6, 280
30, 209, 109, 3, 290
31, 127, 109, 358, 300
32, 113, 109, 367, 310
33, 103, 109, 371, 320
34, 97, 109, 378, 330
35, 95, 108, 388, 340
36, 96, 108, 398, 350
37, 187, 110, 6, 360
38, 132, 111, 424, 370
39, 128, 111, 430, 380
40, 189, 113, 4, 390
41, 101, 113, 458, 400
42, 208, 115, 472, 410
43, 130, 115, 478, 420
44, 181, 117, 7, 430
45, 95, 116, 501, 440
46, 89, 116, 499, 450
47, 86, 115, 509, 460
48, 86, 114, 519, 470
49, 85, 114, 529, 480
50, 84, 113, 552, 490
51, 82, 113, 548, 500
52, 99, 112, 701, 510
53, 110, 112, 599, 520
54, 147, 113, 8, 530
55, 89, 112, 598, 540
56, 171, 113, 7, 550
57, 119, 114, 616, 560
58, 205, 115, 630, 570
59, 111, 115, 632, 580
60, 110, 115, 637, 590
61, 162, 116, 5, 600
62, 165, 116, 1, 610
63, 85, 116, 672, 620
64, 83, 115, 678, 630
65, 118, 115, 696, 640
66, 147, 116, 706, 650
67, 108, 116, 715, 660
68, 98, 116, 721, 670
69, 213, 117, 4, 680
70, 215, 118, 6, 690
71, 124, 118, 761, 700
72, 213, 120, 770, 710
73, 88, 119, 775, 720
74, 109, 119, 820, 730
75, 179, 120, 6, 740
76, 104, 120, 806, 750
77, 197, 121, 817, 760
78, 227, 122, 847, 770
79, 199, 123, 4, 780
80, 107, 123, 857, 790
81, 101, 123, 854, 800
82, 199, 123, 8, 810
83, 208, 125, 7, 820
84, 232, 126, 895, 830
85, 186, 126, 6, 840
86, 154, 127, 903, 850
87, 122, 127, 994, 860
88, 123, 127, 909, 870
89, 115, 127, 932, 880
90, 104, 126, 938, 890
91, 111, 126, 956, 900
92, 101, 126, 962, 910
93, 246, 127, 980, 920
94, 92, 127, 985, 930
95, 233, 128, 3249, 940
96, 156, 128, 6, 950
97, 106, 128, 1023, 960
98, 246, 129, 8, 970
99, 241, 130, 11, 980
100, 211, 131, 1048, 990
101, 241, 132, 1071, 1000
102, 94, 132, 1067, 1010
103, 114, 132, 1072, 1020
104, 85, 131, 1081, 1030
105, 84, 131, 1090, 1040
106, 230, 132, 5, 1050
107, 245, 133, 11, 1060
108, 106, 132, 1129, 1070
109, 191, 133, 7, 1080
110, 93, 133, 1147, 1090
111, 91, 132, 1148, 1100
112, 90, 132, 1161, 1110
113, 88, 131, 1170, 1120
114, 104, 131, 1181, 1130
115, 113, 131, 116, 1140
116, 131, 131, 1205, 1150
117, 239, 132, 7, 1160
118, 133, 132, 1231, 1170
119, 202, 133, 1246, 1180
120, 134, 133, 1258, 1190
121, 236, 133, 1267, 1200
122, 116, 133, 1270, 1210
123, 230, 134, 5, 1220
124, 97, 134, 1282, 1230
125, 92, 133, 1288, 1240
126, 92, 133, 1298, 1250
127, 206, 134, 2, 1260
128, 94, 133, 1414, 1270
129, 153, 133, 5, 1280
130, 90, 133, 1397, 1290
131, 233, 134, 7, 1300
132, 148, 134, 1368, 1310
133, 230, 135, 4, 1320
134, 271, 136, 8, 1330
135, 231, 136, 5, 1340
136, 131, 136, 1406, 1350
137, 127, 136, 1462, 1360
138, 125, 136, 1422, 1370
139, 137, 136, 1431, 1380
