pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 1058, 1058, 0, 0
2, 547382, 274220, 99, 1000000
3, 57542, 201994, 1000314, 2000000
4, 58017, 165999, 2000560, 3000000
5, 58509, 144501, 3000956, 4000000
6, 99336, 136974, 4000858, 5000000
7, 60187, 126004, 5001208, 6000000
8, 57103, 117391, 6001649, 7000000
9, 57998, 110792, 7001843, 8000000
10, 1398, 99853, 8001339, 9000000
