pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
1, 247, 247, 0, 500
2, 280, 263, 686, 500
3, 342, 289, 625, 500
4, 324, 298, 586, 500
5, 313, 301, 604, 500
6, 168, 279, 577, 500
7, 321, 285, 580, 500
8, 155, 268, 571, 500
9, 164, 257, 563, 500
10, 269, 258, 619, 500
11, 130, 246, 914, 500
12, 104, 234, 602, 500
13, 196, 231, 654, 500
14, 226, 231, 564, 500
15, 253, 232, 617, 500
16, 314, 237, 646, 500
17, 280, 240, 579, 500
18, 109, 233, 612, 500
19, 122, 227, 814, 500
20, 305, 231, 574, 500
21, 104, 225, 571, 500
22, 209, 224, 9, 500
23, 102, 219, 617, 500
24, 115, 214, 642, 500
25, 296, 217, 577, 500
26, 125, 214, 565, 500
27, 105, 210, 608, 500
28, 213, 210, 6, 500
29, 154, 208, 584, 500
30, 108, 205, 559, 500
31, 105, 201, 607, 500
32, 113, 199, 560, 500
33, 115, 196, 845, 500
34, 114, 194, 657, 500
35, 131, 192, 563, 500
36, 116, 190, 560, 500
37, 154, 189, 10, 500
38, 239, 190, 637, 500
39, 206, 190, 7, 500
40, 80, 188, 562, 500
41, 154, 187, 1276, 500
42, 194, 187, 578, 500
43, 191, 187, 5, 500
44, 252, 189, 581, 500
45, 87, 186, 564, 500
46, 90, 184, 560, 500
47, 84, 182, 607, 500
48, 89, 180, 557, 500
49, 91, 178, 559, 500
50, 117, 177, 5, 500
51, 110, 176, 565, 500
52, 103, 174, 560, 500
53, 103, 173, 609, 500
54, 222, 174, 8, 500
55, 136, 173, 571, 500
56, 208, 174, 6, 500
57, 164, 174, 579, 500
58, 228, 174, 5, 500
59, 201, 175, 572, 500
60, 182, 175, 5, 500
61, 90, 174, 575, 500
62, 166, 174, 10, 500
63, 215, 174, 2, 500
64, 118, 173, 575, 500
65, 155, 173, 569, 500
66, 87, 172, 582, 500
67, 203, 172, 1, 500
68, 100, 171, 563, 500
69, 174, 171, 571, 500
70, 211, 172, 7, 500
71, 178, 172, 2, 500
72, 91, 171, 564, 500
73, 212, 171, 7, 500
74, 88, 170, 616, 500
75, 86, 169, 605, 500
76, 178, 169, 558, 500
77, 125, 168, 556, 500
78, 86, 167, 558, 500
79, 154, 167, 22, 500
80, 130, 167, 662, 500
81, 123, 166, 567, 500
82, 166, 166, 631, 500
83, 227, 167, 2, 500
84, 131, 166, 599, 500
85, 162, 166, 560, 500
86, 120, 166, 605, 500
87, 125, 165, 579, 500
88, 116, 165, 609, 500
89, 133, 164, 565, 500
90, 119, 164, 608, 500
91, 241, 165, 6, 500
92, 205, 165, 621, 500
93, 151, 165, 572, 500
94, 246, 166, 6, 500
95, 132, 166, 567, 500
96, 234, 166, 7, 500
97, 103, 166, 565, 500
98, 104, 165, 559, 500
99, 175, 165, 2, 500
100, 207, 165, 5, 500
101, 102, 165, 610, 500
102, 106, 164, 559, 500
103, 169, 164, 5, 500
104, 108, 164, 567, 500
105, 101, 163, 559, 500
106, 104, 163, 558, 500
107, 194, 163, 2, 500
108, 139, 163, 618, 500
109, 139, 162, 611, 500
110, 144, 162, 562, 500
111, 137, 162, 561, 500
112, 144, 162, 561, 500
113, 190, 162, 3, 500
114, 125, 162, 565, 500
115, 209, 162, 7, 500
116, 176, 162, 23, 500
117, 89, 162, 615, 500
118, 87, 161, 607, 500
119, 123, 161, 606, 500
120, 85, 160, 610, 500
121, 86, 159, 558, 500
122, 79, 159, 582, 500
123, 89, 158, 574, 500
124, 85, 158, 606, 500
125, 89, 157, 608, 500
126, 97, 157, 610, 500
127, 81, 156, 606, 500
128, 82, 155, 606, 500
129, 84, 155, 558, 500
130, 88, 154, 575, 500
131, 85, 154, 606, 500
132, 89, 153, 561, 500
133, 216, 154, 2, 500
134, 102, 153, 614, 500
135, 108, 153, 559, 500
136, 146, 153, 558, 500
137, 106, 153, 559, 500
138, 104, 152, 607, 500
139, 175, 152, 2, 500
140, 219, 153, 2, 500
141, 216, 153, 41, 500
142, 231, 154, 740, 500
143, 147, 154, 564, 500
144, 216, 154, 7, 500
145, 105, 154, 566, 500
146, 99, 154, 558, 500
147, 102, 153, 559, 500
148, 210, 154, 2, 500
149, 139, 153, 568, 500
150, 150, 153, 567, 500
151, 141, 153, 564, 500
152, 149, 153, 563, 500
153, 193, 154, 7, 500
154, 151, 154, 660, 500
155, 144, 154, 567, 500
156, 190, 154, 9, 500
157, 200, 154, 5, 500
158, 202, 154, 5, 500
159, 82, 154, 561, 500
160, 87, 153, 563, 500
161, 208, 154, 5, 500
162, 62, 153, 643, 500
163, 82, 153, 606, 500
164, 197, 153, 2, 500
165, 105, 153, 611, 500
166, 105, 152, 559, 500
167, 99, 152, 580, 500
168, 104, 152, 559, 500
169, 119, 152, 607, 500
170, 102, 151, 558, 500
171, 216, 152, 7, 500
172, 87, 151, 564, 500
173, 86, 151, 559, 500
174, 85, 151, 557, 500
175, 87, 150, 557, 500
176, 206, 151, 2, 500
177, 85, 150, 563, 500
178, 214, 151, 1160, 500
179, 213, 151, 1, 500
180, 84, 151, 561, 500
181, 80, 150, 558, 500
182, 85, 150, 558, 500
183, 216, 150, 2, 500
184, 180, 150, 1, 500
185, 177, 150, 2, 500
186, 101, 150, 563, 500
187, 106, 150, 568, 500
188, 102, 150, 560, 500
189, 101, 149, 112, 500
190, 143, 149, 562, 500
191, 107, 149, 559, 500
192, 99, 149, 558, 500
193, 102, 149, 559, 500
194, 95, 148, 558, 500
195, 99, 148, 559, 500
196, 98, 148, 607, 500
197, 209, 148, 5, 500
198, 100, 148, 562, 500
199, 101, 148, 559, 500
200, 215, 148, 7, 500
