pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
169, 58544, 130833, 1670491, 1680000
170, 58188, 130405, 1680521, 1690000
171, 57519, 129979, 1690516, 1700000
172, 57144, 129556, 1700339, 1710000
173, 58384, 129144, 1710615, 1720000
174, 57190, 128731, 1720535, 1730000
175, 58603, 128330, 1730590, 1740000
176, 58281, 127932, 1740519, 1750000
177, 57459, 127534, 1750292, 1760000
178, 57626, 127141, 1760370, 1770000
179, 58224, 126756, 1770472, 1780000
180, 1276, 126059, 1780436, 1790000
181, 57366, 125679, 1790514, 1800000
182, 58401, 125310, 1800262, 1810000
183, 57846, 124941, 1810381, 1820000
184, 57241, 124573, 1820380, 1830000
185, 57627, 124211, 1830541, 1840000
186, 58005, 123855, 1840447, 1850000
187, 58712, 123507, 1850316, 1860000
188, 57413, 123155, 1860623, 1870000
189, 58627, 122814, 1870523, 1880000
190, 58237, 122474, 1880471, 1890000
191, 57395, 122133, 1890478, 1900000
192, 57577, 121797, 1900561, 1910000
193, 58852, 121471, 1910539, 1920000
194, 57526, 121141, 1920507, 1930000
195, 59580, 120826, 1930506, 1940000
196, 57426, 120502, 1940586, 1950000
197, 57909, 120184, 1950516, 1960000
198, 1383, 119584, 1960616, 1970000
199, 58077, 119275, 1970311, 1980000
200, 58672, 118972, 1980410, 1990000
