pass_number, pass_time, average_time, microseconds_since_last_write, nsSleep_time
227, 158, 213, 58, 0
228, 193, 213, 58, 0
229, 291, 213, 128, 0
230, 122, 213, 64, 0
231, 157, 213, 58, 0
232, 155, 212, 58, 0
233, 429, 213, 58, 0
234, 200, 213, 78, 0
235, 112, 213, 58, 0
236, 154, 213, 58, 0
237, 150, 212, 58, 0
238, 272, 213, 160, 0
239, 363, 213, 81, 0
240, 200, 213, 69, 0
241, 330, 214, 79, 0
242, 181, 214, 66, 0
243, 197, 213, 61, 0
244, 144, 213, 61, 0
245, 193, 213, 61, 0
246, 190, 213, 61, 0
247, 149, 213, 74, 0
248, 194, 213, 61, 0
249, 170, 212, 61, 0
250, 144, 212, 61, 0
251, 209, 212, 61, 0
252, 218, 212, 61, 0
253, 208, 212, 60, 0
254, 240, 212, 62, 0
255, 332, 213, 78, 0
256, 268, 213, 93, 0
257, 144, 213, 71, 0
258, 256, 213, 61, 0
259, 176, 213, 60, 0
260, 141, 212, 59, 0
261, 166, 212, 59, 0
262, 169, 212, 59, 0
263, 179, 212, 59, 0
264, 216, 212, 79, 0
265, 160, 212, 64, 0
266, 152, 212, 59, 0
267, 139, 211, 90, 0
268, 183, 211, 61, 0
269, 245, 211, 60, 0
270, 241, 211, 58, 0
271, 243, 212, 58, 0
272, 239, 212, 58, 0
273, 235, 212, 58, 0
274, 218, 212, 58, 0
275, 263, 212, 58, 0
276, 200, 212, 59, 0
277, 306, 212, 79, 0
278, 182, 212, 63, 0
279, 239, 212, 58, 0
280, 282, 212, 58, 0
281, 186, 212, 58, 0
282, 240, 212, 58, 0
283, 238, 213, 58, 0
284, 237, 213, 58, 0
285, 240, 213, 58, 0
286, 234, 213, 59, 0
287, 240, 213, 58, 0
288, 226, 213, 58, 0
289, 273, 213, 88, 0
290, 459, 214, 63, 0
291, 245, 214, 61, 0
292, 273, 214, 81, 0
293, 216, 214, 65, 0
294, 307, 215, 60, 0
295, 439, 215, 66, 0
296, 248, 215, 67, 0
297, 249, 216, 59, 0
298, 266, 216, 60, 0
299, 258, 216, 59, 0
300, 234, 216, 59, 0
301, 221, 216, 59, 0
302, 252, 216, 59, 0
303, 262, 216, 59, 0
304, 245, 216, 59, 0
305, 292, 217, 59, 0
306, 263, 217, 60, 0
307, 248, 217, 61, 0
308, 118, 216, 60, 0
309, 174, 216, 60, 0
310, 177, 216, 60, 0
311, 229, 216, 88, 0
312, 167, 216, 64, 0
313, 280, 216, 59, 0
314, 691, 218, 59, 0
315, 158, 218, 60, 0
316, 195, 218, 60, 0
317, 172, 217, 59, 0
318, 189, 217, 59, 0
319, 136, 217, 59, 0
320, 207, 217, 59, 0
321, 957, 219, 59, 0
322, 248, 219, 64, 0
323, 147, 219, 60, 0
324, 169, 219, 59, 0
325, 233, 219, 86, 0
326, 118, 219, 75, 0
327, 168, 219, 60, 0
328, 200, 219, 59, 0
329, 341, 219, 72, 0
330, 337, 219, 93, 0
331, 260, 219, 64, 0
332, 217, 219, 60, 0
333, 222, 219, 107, 0
334, 162, 219, 64, 0
335, 173, 219, 59, 0
336, 174, 219, 59, 0
337, 173, 219, 59, 0
338, 338, 219, 89, 0
339, 173, 219, 65, 0
340, 180, 219, 59, 0
341, 175, 219, 59, 0
342, 240, 219, 122, 0
343, 579, 220, 64, 0
344, 207, 220, 59, 0
345, 359, 220, 85, 0
346, 230, 220, 65, 0
347, 238, 220, 59, 0
348, 273, 220, 84, 0
349, 204, 220, 64, 0
350, 283, 221, 59, 0
351, 191, 221, 59, 0
352, 342, 221, 95, 0
353, 388, 221, 66, 0
354, 370, 222, 96, 0
355, 236, 222, 92, 0
356, 231, 222, 88, 0
357, 702, 223, 61, 0
358, 177, 223, 57, 0
359, 227, 223, 56, 0
360, 227, 223, 56, 0
361, 294, 223, 87, 0
362, 203, 223, 61, 0
363, 216, 223, 56, 0
364, 216, 223, 56, 0
365, 311, 223, 24, 0
366, 372, 224, 77, 0
367, 202, 224, 73, 0
368, 308, 224, 88, 0
369, 210, 224, 64, 0
370, 144, 224, 58, 0
371, 140, 223, 57, 0
372, 196, 223, 57, 0
373, 166, 223, 58, 0
374, 130, 223, 57, 0
375, 230, 223, 57, 0
376, 685, 224, 57, 0
377, 295, 224, 57, 0
378, 225, 224, 57, 0
379, 138, 224, 57, 0
380, 265, 224, 88, 0
381, 136, 224, 62, 0
382, 144, 224, 57, 0
383, 131, 224, 58, 0
384, 232, 224, 2886, 0
385, 358, 224, 81, 0
386, 185, 224, 68, 0
387, 169, 224, 78, 0
388, 154, 224, 62, 0
389, 121, 223, 58, 0
390, 191, 223, 58, 0
391, 154, 223, 60, 0
392, 177, 223, 80, 0
393, 113, 223, 58, 0
394, 126, 222, 58, 0
395, 131, 222, 58, 0
396, 112, 222, 58, 0
397, 166, 222, 58, 0
398, 295, 222, 58, 0
399, 292, 222, 76, 0
400, 124, 222, 64, 0
401, 172, 222, 58, 0
402, 207, 222, 69, 0
403, 303, 222, 111, 0
404, 207, 222, 73, 0
405, 760, 223, 58, 0
406, 547, 224, 75, 0
407, 211, 224, 76, 0
408, 510, 225, 60, 0
409, 224, 225, 59, 0
410, 178, 225, 58, 0
411, 269, 225, 94, 0
412, 234, 225, 72, 0
413, 205, 225, 59, 0
414, 203, 225, 59, 0
415, 227, 225, 117, 0
416, 142, 224, 120, 0
417, 188, 224, 60, 0
418, 363, 225, 60, 0
419, 499, 225, 68, 0
420, 209, 225, 71, 0
421, 367, 226, 70, 0
422, 175, 225, 69, 0
423, 244, 225, 72, 0
424, 255, 226, 62, 0
425, 346, 226, 59, 0
426, 582, 227, 68, 0
427, 170, 226, 59, 0
428, 232, 227, 81, 0
429, 135, 226, 63, 0
430, 160, 226, 58, 0
431, 159, 226, 58, 0
432, 142, 226, 58, 0
433, 157, 226, 58, 0
434, 159, 225, 58, 0
435, 159, 225, 58, 0
436, 103, 225, 58, 0
437, 163, 225, 58, 0
438, 163, 225, 58, 0
439, 854, 226, 82, 0
440, 220, 226, 145, 0
441, 293, 226, 80, 0
442, 176, 226, 63, 0
443, 193, 226, 58, 0
444, 369, 226, 69, 0
445, 241, 226, 82, 0
446, 176, 226, 64, 0
447, 193, 226, 60, 0
448, 232, 226, 62, 0
449, 269, 226, 94, 0
450, 183, 226, 69, 0
451, 234, 226, 60, 0
452, 239, 226, 58, 0
453, 300, 227, 58, 0
454, 234, 227, 58, 0
455, 227, 227, 58, 0
456, 200, 226, 58, 0
457, 185, 226, 58, 0
458, 232, 226, 58, 0
459, 225, 226, 58, 0
460, 199, 226, 58, 0
461, 243, 226, 87, 0
462, 218, 226, 63, 0
463, 240, 226, 58, 0
464, 234, 226, 59, 0
465, 263, 226, 90, 0
466, 188, 226, 63, 0
467, 207, 226, 58, 0
468, 226, 226, 58, 0
469, 229, 226, 58, 0
470, 204, 226, 58, 0
471, 164, 226, 58, 0
472, 258, 226, 83, 0
473, 142, 226, 59, 0
474, 311, 226, 82, 0
475, 223, 226, 63, 0
476, 697, 227, 58, 0
477, 149, 227, 58, 0
478, 241, 227, 58, 0
479, 265, 227, 58, 0
480, 352, 227, 55, 0
481, 226, 227, 68, 0
482, 195, 227, 58, 0
483, 236, 227, 58, 0
484, 317, 228, 87, 0
485, 274, 228, 63, 0
486, 320, 228, 58, 0
487, 426, 228, 58, 0
488, 200, 228, 68, 0
489, 169, 228, 58, 0
490, 232, 228, 59, 0
491, 341, 228, 88, 0
492, 212, 228, 63, 0
493, 231, 228, 58, 0
494, 171, 228, 58, 0
495, 315, 228, 88, 0
496, 299, 228, 64, 0
497, 143, 228, 66, 0
498, 141, 228, 57, 0
499, 203, 228, 82, 0
500, 264, 228, 62, 0
501, 144, 228, 57, 0
502, 139, 228, 56, 0
503, 146, 228, 56, 0
504, 219, 228, 121, 0
505, 127, 227, 61, 0
506, 420, 228, 57, 0
507, 226, 228, 67, 0
508, 186, 228, 58, 0
509, 258, 228, 57, 0
510, 141, 228, 56, 0
511, 136, 227, 56, 0
512, 137, 227, 56, 0
